Countries,Total Cases,Total Deaths,Total Recovered,Serious,Tot Death/1M pop,Tot Tests,Tot Tests/1M pop,Population
Liberia,"8,090",295,"7,783",12,"1,525",56,"1,39,824","26,356"
Sierra Leone,"7,779",126,"7,783",20,937,15,"2,59,958","31,296"
Chad,"7,701",194,"4,874","2,633",442,11,"1,91,341","10,988"
British Virgin Islands,"7,392",64,"4,874",48,"2,41,600","2,092","1,07,339","35,08,269"
Cook Islands,"7,203",2,"7,150",51,"4,09,937",114,"19,690","11,20,596"
Sao Tome and Principe,"6,778",80,"6,685",13,"29,770",351,"29,600","1,30,008"
Turks and Caicos,"6,752",40,"6,709",3,"1,69,900","1,007","6,16,788","1,55,20,193"
Saint Kitts and Nevis,"6,607",48,"6,559",0,"1,22,645",891,"1,26,958","23,56,704"
Palau,"6,290",10,"6,276",4,"3,44,979",548,"71,434","39,17,841"
St. Barth,"5,507",6,"5,347",10,"5,53,746",603,"78,646","79,08,095"
Nauru,"5,393",1,"5,347",45,"4,94,635",92,"20,509","18,81,042"
Kiribati,"5,085",24,"2,703","2,358","41,201",194,,
Anguilla,"3,904",12,438,29,"2,56,336",788,"51,382","33,73,736"
Wallis and Futuna,"3,550",8,438,"3,104","3,23,256",728,"20,508","18,67,419"
Saint Pierre Miquelon,"3,452",2,"2,449","1,001","5,99,410",347,"25,400","44,10,488"
Tuvalu,"2,943",1,0,0,"2,43,909",83,,
Saint Helena,"2,166", ,2,"2,164","3,54,211",,,
Falkland Islands,"1,930", ,"1,930",0,"5,45,352",,"8,632","24,39,107"
Montserrat,"1,403",8,"1,376",19,"2,82,578","1,611","17,762","35,77,442"
Niue,"1,059", ,"1,056",3,"6,52,898",,,
226,712,13,699,0,,,,
Tokelau,80, ,,80,"58,055",,,
Vatican City,29, ,29,0,"36,295",,,
Western Sahara,10,1,9,0,16,2,,
230,9,2,7,0,,,,
China,"5,03,302","5,272","3,79,053","1,18,977",347,4,"16,00,00,000","1,10,461"
